2010/1/1,2010/4/1,2010/7/1,2010/10/1,2011/1/1,2011/4/1,2011/7/1,2011/10/1,2012/1/1,2012/4/1,2012/7/1,2012/10/1,2013/1/1,2013/4/1,2013/7/1,2013/10/1,2014/1/1,2014/4/1,2014/7/1,2014/10/1,2015/1/1,2015/4/1,2015/7/1,2015/10/1,2016/1/1,2016/4/1,2016/7/1,2016/10/1,2017/1/1,2017/4/1,2017/7/1,2017/10/1,2018/1/1
0202445Q,0202445Q,0202445Q,0203524D,0203524D,0203524D,0203524D,0848680D,0867887D,0867887D,0961514D,1086832D,1255459D,1255459D,1255459D,1284849D,1284849D,1288453D,1288453D,1288453D,1288453D,1436513D,1448062D,1500785D,1500785D,1500785D,1518855D,1539941D,1539941D,A,AAL,AAL,AAL
0203524D,0203524D,0203524D,0772031D,0772031D,0848680D,0848680D,0867887D,0961514D,0961514D,1086832D,1255459D,1284849D,1284849D,1284849D,1288453D,1288453D,1431816D,1436513D,1436513D,1436513D,1448062D,1500785D,1518855D,1518855D,1518855D,1539941D,A,A,AAL,AAP,AAP,AAP
0772031D,0772031D,0772031D,0848680D,0848680D,0867887D,0867887D,0961514D,1086832D,1086832D,1255459D,1284849D,1288453D,1288453D,1288453D,1431816D,1431816D,1436513D,1448062D,1448062D,1448062D,1500785D,1518855D,1539941D,1539941D,1539941D,A,AA,AAL,AAP,AAPL,AAPL,AAPL
0848680D,0848680D,0848680D,0961514D,0961514D,0961514D,0961514D,1086832D,1255459D,1255459D,1284849D,1288453D,1431816D,1431816D,1431816D,1436513D,1436513D,1448062D,1500785D,1500785D,1500785D,1518855D,1539941D,1541931D,1566019D,1566019D,AA,AAL,AAP,AAPL,ABBV,ABBV,ABBV
0961514D,0961514D,0961514D,1086832D,1086832D,1086832D,1086832D,1255459D,1280712D,1280712D,1288453D,1431816D,1436513D,1436513D,1436513D,1448062D,1448062D,1500785D,1518855D,1518855D,1518855D,1539941D,1541931D,1566019D,9876566D,A,AAL,AAP,AAPL,ABBV,ABC,ABC,ABC
1086832D,1086832D,1086832D,1255459D,1255459D,1255459D,1255459D,1280712D,1284849D,1284849D,1431816D,1436513D,1448062D,1448062D,1448062D,1500785D,1500785D,1518855D,1539941D,1539941D,1539941D,1541931D,1566019D,9876566D,A,AA,AAP,AAPL,ABBV,ABC,ABT,ABT,ABT
1255459D,1255459D,1255459D,1280712D,1280712D,1280712D,1280712D,1284849D,1431816D,1431816D,1436513D,1448062D,1500785D,1500785D,1500785D,1518855D,1518855D,1539941D,1541931D,1541931D,1541931D,1566019D,9876549D,A,AA,AAL,AAPL,ABBV,ABC,ABT,ACN,ACN,ACN
1280712D,1280712D,1280712D,1284849D,1284849D,1284849D,1284849D,1431816D,1436513D,1436513D,1448062D,1500785D,1518855D,1518855D,1518855D,1539941D,1539941D,1541931D,1566019D,1566019D,1566019D,9876549D,9876566D,AA,AAL,AAP,ABBV,ABC,ABT,ACN,ADBE,ADBE,ADBE
1284849D,1284849D,1284849D,1431816D,1431816D,1431816D,1431816D,1436513D,1448062D,1448062D,1500785D,1518855D,1539941D,1539941D,1539941D,1541931D,1541931D,1566019D,9876549D,9876549D,9876549D,9876566D,A,AAL,AAP,AAPL,ABC,ABT,ACN,ADBE,ADI,ADI,ADI
1431816D,1431816D,1431816D,1436513D,1436513D,1436513D,1436513D,1448062D,1500785D,1500785D,1518855D,1539941D,1541931D,1541931D,1541931D,1566019D,1566019D,9876544D,9876566D,9876566D,9876566D,A,AA,AAP,AAPL,ABBV,ABT,ACN,ADBE,ADI,ADM,ADM,ADM
1436513D,1436513D,1436513D,1448062D,1448062D,1448062D,1448062D,1500785D,1518855D,1518855D,1539941D,1541931D,1566019D,1566019D,1566019D,9876544D,9876544D,9876549D,A,A,A,AA,AAL,AAPL,ABBV,ABC,ACN,ADBE,ADI,ADM,ADP,ADP,ADP
1448062D,1448062D,1448062D,1500785D,1500785D,1500785D,1500785D,1518855D,1519128D,1539941D,1541931D,1566019D,9876544D,9876544D,9876544D,9876549D,9876549D,9876566D,AA,AA,AA,AAL,AAPL,ABBV,ABC,ABT,ADBE,ADI,ADM,ADP,ADS,ADS,ADS
1500785D,1500785D,1500785D,1518855D,1518855D,1518855D,1518855D,1519128D,1539941D,1541931D,9876544D,9876544D,9876566D,9876566D,9876566D,9876566D,9876566D,A,AAPL,AAPL,AAPL,AAPL,ABBV,ABC,ABT,ACN,ADI,ADM,ADP,ADS,ADSK,ADSK,ADSK
1518855D,1518855D,1518855D,1519128D,1519128D,1519128D,1519128D,1539941D,1541931D,9876544D,9876566D,9876566D,A,A,A,A,A,AA,ABBV,ABBV,ABBV,ABBV,ABC,ABT,ACN,ADBE,ADM,ADP,ADS,ADSK,AEE,AEE,AEE
1519128D,1519128D,1519128D,1539941D,1539941D,1539941D,1539941D,1541931D,9876544D,9876566D,A,A,AA,AA,AA,AA,AA,AAPL,ABC,ABC,ABC,ABC,ABT,ACN,ADBE,ADI,ADP,ADS,ADSK,AEE,AEP,AEP,AEP
1524867D,1524867D,1539941D,1541931D,1541931D,1541931D,1541931D,9876544D,9876566D,A,AA,AA,AAPL,AAPL,AAPL,AAPL,AAPL,ABBV,ABT,ABT,ABT,ABT,ACN,ADBE,ADI,ADM,ADS,ADSK,AEE,AEP,AES,AES,AES
1539941D,1539941D,1541931D,8394653Q,8394653Q,8394653Q,9876544D,9876566D,A,AA,AAPL,AAPL,ABC,ABBV,ABBV,ABBV,ABBV,ABC,ACN,ACN,ACN,ACN,ADBE,ADI,ADM,ADP,ADSK,AEE,AEP,AES,AET,AET,AET
1541931D,1541931D,8394653Q,9876544D,9876544D,9876544D,9876566D,A,AA,AAPL,ABC,ABC,ABT,ABC,ABC,ABC,ABC,ABT,ADBE,ADBE,ADBE,ADBE,ADI,ADM,ADP,ADS,AEE,AEP,AES,AET,AFL,AFL,AFL
8277831Q,8394653Q,9876544D,9876566D,9876566D,9876566D,A,AA,AAPL,ABC,ABT,ABT,ACN,ABT,ABT,ABT,ABT,ACN,ADI,ADI,ADI,ADI,ADM,ADP,ADS,ADSK,AEP,AES,AET,AFL,AGN,AGN,AGN
8394653Q,9876544D,9876566D,A,A,A,AA,AAPL,ABC,ABT,ACN,ACN,ADBE,ACN,ACN,ACN,ACN,ADBE,ADM,ADM,ADM,ADM,ADP,ADS,ADSK,AEE,AES,AET,AFL,AGN,AIG,AIG,AIG
9876544D,9876566D,A,AA,AA,AA,AAPL,ABC,ABT,ACN,ADBE,ADBE,ADI,ADBE,ADBE,ADBE,ADBE,ADI,ADP,ADP,ADP,ADP,ADS,ADSK,AEE,AEP,AET,AFL,AGN,AIG,AIV,AIV,AIV
9876566D,A,AA,AAPL,AAPL,AAPL,ABC,ABT,ACN,ADBE,ADI,ADI,ADM,ADI,ADI,ADI,ADI,ADM,ADS,ADS,ADS,ADS,ADSK,AEE,AEP,AES,AFL,AGN,AIG,AIV,AIZ,AIZ,AIZ
A,AA,AAPL,ABC,ABC,ABC,ABT,ACN,ADBE,ADI,ADM,ADM,ADP,ADM,ADM,ADM,ADM,ADP,ADSK,ADSK,ADSK,ADSK,AEE,AEP,AES,AET,AGN,AIG,AIV,AIZ,AJG,AJG,AJG
AA,AAPL,ABC,ABT,ABT,ABT,ADBE,ADBE,ADI,ADM,ADP,ADP,ADSK,ADP,ADP,ADP,ADP,ADS,AEE,AEE,AEE,AEE,AEP,AES,AET,AFL,AIG,AIV,AIZ,AJG,AKAM,AKAM,AKAM
AAPL,ABC,ABT,ADBE,ADBE,ADBE,ADI,ADI,ADM,ADP,ADSK,ADSK,AEE,ADSK,ADSK,ADSK,ADS,ADSK,AEP,AEP,AEP,AEP,AES,AET,AFL,AGN,AIV,AIZ,AJG,AKAM,ALB,ALB,ALB
ABC,ABT,ADBE,ADI,ADI,ADI,ADM,ADM,ADP,ADSK,AEE,AEE,AEP,AEE,AEE,AEE,ADSK,AEE,AES,AES,AES,AES,AET,AFL,AGN,AIG,AIZ,AJG,AKAM,ALB,ALGN,ALGN,ALGN
ABT,ADBE,ADI,ADM,ADM,ADM,ADP,ADP,ADSK,AEE,AEP,AEP,AES,AEP,AEP,AEP,AEE,AEP,AET,AET,AET,AET,AFL,AGN,AIG,AIV,AJG,AKAM,ALB,ALK,ALK,ALK,ALK
ADBE,ADI,ADM,ADP,ADP,ADP,ADSK,ADSK,AEE,AEP,AES,AES,AET,AES,AES,AES,AEP,AES,AFL,AFL,AFL,AFL,AGN,AIG,AIV,AIZ,AKAM,ALB,ALK,ALL,ALL,ALL,ALL
ADI,ADM,ADP,ADSK,ADSK,ADSK,AEE,AEE,AEP,AES,AET,AET,AFL,AET,AET,AET,AES,AET,AGN,AGN,AGN,AGN,AIG,AIV,AIZ,AKAM,ALB,ALK,ALL,ALLE,ALLE,ALLE,ALLE
ADM,ADP,ADSK,AEE,AEE,AEE,AEP,AEP,AES,AET,AFL,AFL,AGN,AFL,AFL,AFL,AET,AFL,AIG,AIG,AIG,AIG,AIV,AIZ,AKAM,ALL,ALK,ALL,ALLE,ALXN,ALXN,ALXN,ALXN
ADP,ADSK,AEE,AEP,AEP,AEP,AES,AES,AET,AFL,AGN,AGN,AIG,AGN,AGN,AGN,AFL,AGN,AIV,AIV,AIV,AIV,AIZ,AKAM,ALL,ALLE,ALL,ALLE,ALXN,AMAT,AMAT,AMAT,AMAT
ADSK,AEE,AEP,AES,AES,AES,AET,AET,AFL,AGN,AIG,AIG,AIV,AIG,AIG,AIG,AGN,AIG,AIZ,AIZ,AIZ,AIZ,AKAM,ALL,ALLE,ALXN,ALLE,ALXN,AMAT,AMD,AMD,AMD,AMD
AEE,AEP,AES,AET,AET,AET,AFL,AFL,AGN,AIG,AIV,AIV,AIZ,AIV,AIV,AIV,AIG,AIV,AKAM,AKAM,AKAM,AKAM,ALL,ALLE,ALXN,AMAT,ALXN,AMAT,AME,AME,AME,AME,AME
AEP,AES,AET,AFL,AFL,AFL,AGN,AGN,AIG,AIV,AIZ,AIZ,AKAM,AIZ,AIZ,AIZ,AIV,AIZ,ALL,ALL,ALL,ALL,ALLE,ALXN,AMAT,AME,AMAT,AME,AMG,AMG,AMG,AMG,AMG
AES,AET,AFL,AGN,AGN,AGN,AIG,AIG,AIV,AIZ,AKAM,AKAM,ALL,AKAM,AKAM,AKAM,AIZ,AKAM,ALLE,ALLE,ALLE,ALLE,ALXN,AMAT,AME,AMG,AME,AMG,AMGN,AMGN,AMGN,AMGN,AMGN
AET,AFL,AGN,AIG,AIG,AIG,AIV,AIV,AIZ,AKAM,ALL,ALL,ALXN,ALL,ALL,ALL,AKAM,ALL,ALXN,ALXN,ALXN,ALXN,AMAT,AME,AMG,AMGN,AMG,AMGN,AMP,AMP,AMP,AMP,AMP
AFL,AGN,AIG,AIV,AIV,AIV,AIZ,AIZ,AKAM,ALL,ALXN,ALXN,AMAT,ALXN,ALXN,ALXN,ALL,ALLE,AMAT,AMAT,AMAT,AMAT,AME,AMG,AMGN,AMP,AMGN,AMP,AMT,AMT,AMT,AMT,AMT
AGN,AIG,AIV,AIZ,AIZ,AIZ,AKAM,AKAM,ALL,AMAT,AMAT,AMAT,AMD,AMAT,AMAT,AMAT,ALLE,ALXN,AME,AME,AME,AME,AMG,AMGN,AMP,AMT,AMP,AMT,AMZN,AMZN,AMZN,AMZN,AMZN
AIG,AIV,AIZ,AKAM,AKAM,AKAM,AKS,AKS,AMAT,AMD,AMD,AMD,AMGN,AMD,AMD,AME,ALXN,AMAT,AMG,AMG,AMG,AMG,AMGN,AMP,AMT,AMZN,AMT,AMZN,AN,AN,AN,ANDV,ANDV
AIV,AIZ,AKAM,AKS,AKS,AKS,ALL,ALL,AMD,AMGN,AMGN,AMGN,AMP,AMGN,AMGN,AMGN,AMAT,AME,AMGN,AMGN,AMGN,AMGN,AMP,AMT,AMZN,AN,AMZN,AN,ANDV,ANDV,ANDV,ANSS,ANSS
AIZ,AKAM,AKS,ALL,ALL,ALL,AMAT,AMAT,AMGN,AMP,AMP,AMP,AMT,AMP,AMP,AMP,AME,AMGN,AMP,AMP,AMP,AMP,AMT,AMZN,AN,ANDV,AN,ANDV,ANTM,ANTM,ANSS,ANTM,ANTM
AKAM,AKS,ALL,AMAT,AMAT,AMAT,AMD,AMD,AMP,AMT,AMT,AMT,AMZN,AMT,AMT,AMT,AMGN,AMP,AMT,AMT,AMT,AMT,AMZN,AN,ANDV,ANTM,ANDV,ANTM,AON,AON,ANTM,AON,AON
AKS,ALL,AMAT,AMD,AMD,AMD,AMGN,AMGN,AMT,AMZN,AMZN,AMZN,AN,AMZN,AMZN,AMZN,AMP,AMT,AMZN,AMZN,AMZN,AMZN,AN,ANDV,ANTM,AON,ANTM,AON,APA,APA,AON,AOS,AOS
ALL,AMAT,AMD,AMGN,AMGN,AMGN,AMP,AMP,AMZN,AN,AN,AN,ANDV,AN,AN,AN,AMT,AMZN,AN,AN,AN,AN,ANDV,ANTM,AON,APA,AON,APA,APC,APC,APA,APA,APA
AMAT,AMD,AMGN,AMP,AMP,AMP,AMT,AMT,AN,ANDV,ANDV,ANDV,ANF,ANDV,ANDV,ANDV,AMZN,AN,ANDV,ANDV,ANDV,ANDV,ANTM,AON,APA,APC,APA,APC,APD,APD,APC,APC,APC
AMD,AMGN,AMP,AMT,AMT,AMT,AMZN,AMZN,ANDV,ANF,ANF,ANF,ANTM,ANF,ANF,ANF,AN,ANDV,ANTM,ANTM,ANTM,ANTM,AON,APA,APC,APD,APC,APD,APH,APH,APD,APD,APD
AMGN,AMP,AMT,AMZN,AMZN,AMZN,AN,AN,ANF,ANRZQ,ANRZQ,ANRZQ,AON,ANTM,ANTM,ANTM,ANDV,ANTM,AON,AON,AON,AON,APA,APC,APD,APH,APD,APH,APTV,APTV,APH,APH,APH
AMP,AMT,AMZN,AN,AN,AN,ANDV,ANDV,ANRZQ,ANTM,ANTM,ANTM,APA,AON,AON,AON,ANTM,AON,APA,APA,APA,APA,APC,APD,APH,APTV,APH,APTV,ARNC,ARE,APTV,APTV,APTV
AMT,AMZN,AN,ANDV,ANDV,ANDV,ANF,ANF,ANTM,AON,AON,AON,APC,APA,APA,APA,AON,APA,APC,APC,APC,APC,APD,APH,APTV,ARG,APTV,ATVI,ATVI,ARNC,ARE,ARE,ARE
AMZN,AN,ANDV,ANF,ANF,ANF,ANRZQ,ANRZQ,AON,APA,APA,APA,APD,APC,APC,APC,APA,APC,APD,APD,APD,APD,APH,APTV,ARG,ATVI,ATVI,AVB,AVB,ATVI,ARNC,ARNC,ARNC
AN,ANDV,ANF,ANTM,ANTM,ANTM,ANTM,ANTM,APA,APC,APC,APC,APH,APD,APD,APD,APC,APD,APH,APH,APH,APH,APTV,ARG,ATVI,AVB,AVB,AVGO,AVGO,AVB,ATVI,ATVI,ATVI
ANDV,ANF,ANTM,AON,AON,AON,AON,AON,APC,APD,APD,APD,APOL,APH,APH,APH,APD,APH,APTV,APTV,APTV,APTV,ARG,ATVI,AVB,AVGO,AVGO,AVY,AVY,AVGO,AVB,AVB,AVB
ANF,ANTM,AON,APA,APA,APA,APA,APA,APD,APH,APH,APH,APTV,APOL,APTV,APTV,APH,APTV,ARG,ARG,ARG,ARG,ATI,AVB,AVGO,AVY,AVY,AWK,AWK,AVY,AVGO,AVGO,AVGO
ANTM,AON,APA,APC,APC,APC,APC,APC,APH,APOL,APOL,APOL,ARG,APTV,ARG,ARG,APTV,ARG,ATI,ATI,ATI,ATI,AVB,AVGO,AVY,AWK,AWK,AXP,AXP,AWK,AVY,AVY,AVY
AON,APA,APC,APD,APD,APD,APD,APD,APOL,ARG,ARG,ARG,ATI,ARG,ATI,ATI,ARG,ATI,AVB,AVB,AVB,AVB,AVGO,AVY,AXP,AXP,AXP,AYI,AYI,AXP,AWK,AWK,AWK
APA,APC,APD,APH,APH,APH,APH,APH,ARG,ATGE,ATGE,ATI,AVB,ATI,AVB,AVB,ATI,AVB,AVGO,AVGO,AVGO,AVGO,AVY,AXP,AZO,AZO,AYI,AZO,AZO,AYI,AXP,AXP,AXP
APC,APD,APH,APOL,APOL,APOL,APOL,APOL,ATGE,ATI,ATI,AVB,AVP,AVB,AVP,AVP,AVB,AVP,AVP,AVP,AVP,AVY,AXP,AZO,BA,BA,AZO,BA,BA,AZO,AYI,AYI,AYI
APD,APH,APOL,ARG,ARG,ARG,ARG,ARG,ATI,AVB,AVB,AVP,AVY,AVP,AVY,AVY,AVP,AVY,AVY,AVY,AVY,AXP,AZO,BA,BAC,BAC,BA,BAC,BAC,BA,AZO,AZO,AZO
APH,APOL,ARG,ATGE,ATGE,ATGE,ATGE,ATGE,AVB,AVP,AVP,AVY,AXP,AVY,AXP,AXP,AVY,AXP,AXP,AXP,AXP,AZO,BA,BAC,BAX,BAX,BAC,BAX,BAX,BAC,BA,BA,BA
APOL,ARG,ATGE,ATI,ATI,ATI,ATI,ATI,AVP,AVY,AVY,AXP,AZO,AXP,AZO,AZO,AXP,AZO,AZO,AZO,AZO,BA,BAC,BAX,BBBY,BBBY,BAX,BBBY,BBBY,BAX,BAC,BAC,BAC
ARG,ATGE,ATI,AVB,AVB,AVB,AVB,AVB,AVY,AXP,AXP,AZO,BA,AZO,BA,BA,AZO,BA,BA,BA,BA,BAC,BAX,BBBY,BBT,BBT,BBBY,BBT,BBT,BBBY,BAX,BAX,BAX
ATGE,ATI,AVB,AVP,AVP,AVP,AVP,AVP,AXP,AZO,AZO,BA,BAC,BA,BAC,BAC,BA,BAC,BAC,BAC,BAC,BAX,BBBY,BBT,BBY,BBY,BBT,BBY,BBY,BBT,BBBY,BBT,BBT
ATI,AVB,AVP,AVY,AVY,AVY,AVY,AVY,AZO,BA,BA,BAC,BAX,BAC,BAX,BAX,BAC,BAX,BAX,BAX,BAX,BBBY,BBT,BBY,BCR,BCR,BBY,BCR,BCR,BBY,BBT,BBY,BBY
AVB,AVP,AVY,AXP,AXP,AXP,AXP,AXP,BA,BAC,BAC,BAX,BBBY,BAX,BBBY,BBBY,BAX,BBBY,BBBY,BBBY,BBBY,BBT,BBY,BCR,BDX,BDX,BCR,BDX,BDX,BCR,BBY,BCR,BCR
AVP,AVY,AXP,AYE,AYE,AZO,AZO,AZO,BAC,BAX,BAX,BBBY,BBT,BBBY,BBT,BBT,BBBY,BBT,BBT,BBT,BBT,BBY,BCR,BDX,BEN,BEN,BDX,BEN,BEN,BDX,BCR,BDX,BDX
AVY,AXP,AYE,AZO,AZO,BA,BA,BA,BAX,BBBY,BBBY,BBT,BBY,BBT,BBY,BBY,BBT,BBY,BBY,BBY,BBY,BCR,BDX,BEN,BF/B,BF/B,BEN,BF/B,BF/B,BEN,BDX,BEN,BEN
AXP,AYE,AZO,BA,BA,BAC,BAC,BAC,BBBY,BBT,BBT,BBY,BCR,BBY,BCR,BCR,BBY,BCR,BCR,BCR,BCR,BDX,BEN,BF/B,BHI,BHI,BF/B,BHI,BHI,BF/B,BEN,BF/B,BF/B
AYE,AZO,BA,BAC,BAC,BAX,BAX,BAX,BBT,BBY,BBY,BCR,BDX,BCR,BDX,BDX,BCR,BDX,BDX,BDX,BDX,BEN,BF/B,BHI,BIIB,BIIB,BHI,BIIB,BIIB,BHI,BF/B,BHF,BHF
AZO,BA,BAC,BAX,BAX,BBBY,BBBY,BBBY,BBY,BCR,BCR,BDX,BEAM,BDX,BEAM,BEAM,BDX,BEAM,BEN,BEN,BEN,BF/B,BHI,BIIB,BK,BK,BIIB,BK,BK,BIIB,BHI,BHGE,BHGE
